,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
158,2011,"Gayer, G.","Gayer, Gabriela; Petrovitch, Ivan; Jeffrey, R. Brooke","Radiographics : A Review Publication Of The Radiological Society Of North America, Inc",,PubMed,10.1148/rg.312105123,,Foreign Objects Encountered In The Abdominal Cavity At Ct,"Foreign Objects Are Not Infrequently Seen At Computed Tomography (Ct) Of The Abdomen And Pelvis And May Pose A Diagnostic Challenge To The Radiologist, Who  Must Recognize The Object, Characterize Its Nature And Location, And Determine  Its Clinical Significance. Most Foreign Objects Are Incidentally Detected At Ct,  But They May Mimic A Wide Range Of Pathologic Conditions. Some Foreign Objects  (Eg, An Object That Has Been Swallowed Either Intentionally Or Unintentionally)  Are The Cause Of The Patient'S Signs And Symptoms And Require Prompt Medical  Attention. Other Objects, Such As A Sponge Or Surgical Instrument That Has Been  Retained Postoperatively, May Have Medicolegal Consequences. Furthermore, Certain  Objects, Such As Intentionally Concealed Drug Packets, May Go Undetected Unless A  High Degree Of Suspicion Exists And Appropriate Window Settings Are Used To  Review The Study. The Radiologist Should Be Familiar With The Wide Range Of  Foreign Objects That May Be Encountered At Abdominopelvic Ct, Be Able To  Recognize Them Promptly, And Understand Their Implications For Patient Treatment.",,,
159,2011,"Garrett, D.","Garrett, Deiadra; Anselmo, Dean; Ford, Henri; Ndiforchu, Fombe; Nguyen, Nam",Pediatric Surgery International,,PubMed,10.1007/s00383-011-2862-z,,Minimally Invasive Esophagectomy And Gastric Pull-Up In Children,"Purpose: Minimally Invasive Esophagectomy And Gastric Pull-Up Is A Widely Accepted Method In Adults. However, The Experience In The Pediatric Population Is  Limited. Minimally Invasive Esophagectomy Represents A New Alternative Technique  To The Conventional Open Approach. We Wish To Report Our Small Case Series Of  Minimally Invasive Esophagectomy And Gastric Pull-Up In Pediatric Patients. The  Aim Of The Study Is To Evaluate The Feasibility, Safety, And Outcomes Of The  Procedure. Methods: Three Patients (2 Girls And 1 Boy) With Average Age 46 Months  (34-57 Months) And Average Weight 12.6 Kg (11-15 Kg) Underwent The Procedure. The  Indications For Esophagectomy Were Esophageal Stricture From Caustic Ingestion (2  Patients) And Failed Repair Of Esophageal Atresia (1 Patient). Results: Average  Operative Time Was 7 H (0519-0752 Hours). There Were No Intraoperative  Complications With The Average Blood Loss Of 50 Cc (5-125 Cc). No Anastomotic  Leaks Were Noted On The Initial Esophagrams That Were Obtained On Postoperative  Day Five Or Six. One Patient Developed A Cervical Wound Infection On  Postoperative Day Seven Due To A Retained Piece Of Penrose, Which Required A Neck  Exploration, Removal Of Foreign Body And Repair Of A Small Leak. One Patient  Developed An Anastomotic Stricture At The 7-Month Follow-Up. She Was Successfully  Treated With Two Balloon Dilatations. One Patient Developed A Delayed  Esophagogastric Anastomotic Leak At 3 Months. The Leak Spontaneously Closed After  Surgical Drainage. At Average Of 22-Month Follow-Up (15-36 Months), All Patients  Were Eating Regular Food With Excellent Weight Gain. Conclusion: Minimally  Invasive Esophagectomy And Gastric Pull-Up Is Technically Challenging But  Feasible And Safe With Acceptable Outcomes. However, Further Study Is Needed To  Further Validate The Approach.",,,
160,2011,"Cappello, M.",M Cappello,,M Cappello - 2011 - books.google.com,Google Scholar,10.1001/jama.2011.393,https://jamanetwork.com/journals/jama/article-abstract/895999,"Swallow: Foreign Bodies, Their Ingestion, Inspiration, And The Curious Doctor Who Extracted Them",Product Description An American Half-Dollar. A Beaded Crucifix. Tooth Roots Shaped Like A Tiny Pair Of Pants. A Padlock. Scads Of Peanut Kernels And Scores Of Safety Pins. A Metallic Letter ...,"Swallow describes the extraordinary personal and professional life of Chevalier Jackson (1865-1958), one of America's preeminent laryngologists. He was a clinician, endoscopy pioneer, teacher, author, artist, and instrument-maker. Author Mary Cappello points out that Before Jackson's instruments and techniques, only two patients out of one hundred might successfully cough up, regurgitate, or excrete a foreign body, and surgery resulted in death in 98 percent of all cases and that Jackson developed over five thousand instruments and saved as many lives. Amazingly, he removed ingested or aspirated foreign bodies without the use of anesthesia.",,
161,2011,"Caliskan, C.","Caliskan, Cemil; Makay, Ozer; Firat, Ozgur; Can Karaca, A.; Akgun, Erhan; Korkut, Mustafa A.",Surgery Today,,PubMed,10.1007/s00595-009-4362-5,,Foreign Bodies In The Rectum: An Analysis Of 30 Patients,"Purpose: A Foreign Body In The Rectum Is A Rare Clinical Entity. These Foreign Bodies Can Be Classified Under Two Major Groups: The Ones That Are Inserted From  The Anus And The Ones That Are Swallowed And Thereafter Become Stuck In The  Rectum. Methods: Data Of Patients Admitted With A Foreign Body In The Rectum  Between 1988 And 2008 Were Retrospectively Analyzed. A Total Of 30 Patients Were  Reviewed. Results: The Most Common Reason For A Foreign Body In The Rectum Was  Insertion For Erotic Purposes, Which Was Seen In 19 Of The 30 Patients. All These  Patients Were Male. The Remaining 11 Patients Reported Nonerotic Causes. The Most  Efficient And Implemented Therapeutic Method Was Simple Extraction During The  First Examination. Conclusions: The Most Common Reason For A Foreign Body In The  Rectum Is Insertion For Erotic Purposes. The First Target Of Therapy Should Be  Extraction Of The Foreign Body Using The Simplest Method Possible. Meanwhile,  Protecting The Integrity Of The Intestine Is Of The Utmost Importance. The Care  For Maintaining The Integrity Of The Rectum Should Include An Evaluation Of The  Patient'S Psychological Status.",,,
162,2011,"Kocierz, L.","Kocierz, L.; Leung, E.; Thumbe, V.",Journal Of Surgical Case Reports,,PubMed,10.1093/jscr/2011.10.4,,An Unusual Cause Of Perianal Fistula,"Anal Pain Is A Common Presentation In Colorectal Clinic. Accurate Diagnosis Often Requires Examination Under Anaesthesia As Pain Prevents Careful Assessment. This  Report Intends To Highlight A Rare Cause Of A Superficial Perianal Fistula Caused  By An Ingested Foreign Body. A 36-Year-Old Afro-Caribbean Gentleman Underwent  Examination Under Anaesthesia Of Rectum. He Had A 2-Week History Of Perianal Pain  And Discharge. Intra-Operatively, A Piece Of Bone From A Pork Spare Rib Was Found  Embedded Within The Superficial Subcutaneous Fistula. There Was An Associated  Abscess Cavity Adjacent To The Fistula, Which Was Curetted. The Fistula Was Laid  Open And The Bone Was Removed. The Cavity Was Successfully Left To Heal By  Secondary Intention. Ingested Foreign Body Is A Very Unusual Cause Of Perianal  Sepsis And Subsequent Fistula Formation. Incision And Drainage Of The Abscess  Along With Removal Of Foreign Body Is The Key To Immediate Pain Relief And Cure.",,,
163,2012,"Pappas..., E.","Eg Chekan, Tn Pappas...",Surgery: Basic Science ...,"EG Chekan, TN Pappas... - Surgery: Basic Science ..., 2012 - books.google.com",Google Scholar,,"https://www.google.lk/books/edition/Surgery/cs6O3QIwrKcC?hl=en&gbpv=1&dq=The+historical+development+of+laparoscopy+can+be+traced+to+early+in+the+nineteenth+century+when,+using+reflected+candlelight,+Bozzini,+an+Italian+physician+living+in+Germany,+first+...&pg=PA771&printsec=frontcover",Of Minimally,"The Historical Development Of Laparoscopy Can Be Traced To Early In The Nineteenth Century When, Using Reflected Candlelight, Bozzini, An Italian Physician Living In Germany, First ","The historical development of laparoscopy can be
traced to early in the 19th century when Bozzini, an Italian physician living in Germany, first examined the abdominal cavity using reflected candlelight.' In 1901, George Kelling, a German, described the establishment of a pneumoperitoneum (PNP) and trocar placement through which a cystoscope was placed. In the early 1930s throughout Europe, modern laparoscopy was popularized by Kalk, who used room air to create a PNP. 2,3
Laparoscopy was initially
applied in gynecological procedures, and it was not until 1991 that general surgeons began to take notice when Muhe introduced the first laparoscopic cholecystectomy (LC)
1n
Germany.
4",,
164,2012,"Park, S.","Park, Sin Youl; Woo, Jungmin; Park, Jeong Bae; Rim, Hyo-Deog","Clinical Toxicology (Philadelphia, Pa.)",,PubMed,10.3109/15563650.2012.663919,,Intentional Ingestion Of Cyanoacrylate,,,,
165,2012,"Rossi, J.",J Rossi,,J Rossi - 2012 - books.google.com,Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=Eu4jrW9Ha8QC&oi=fnd&pg=PR4&dq=What%27S+Wrong+With+My+Cat+Or+Kitten%3F+j+eossi+2012&ots=9j4VjQtkUi&sig=qvmBfbfVpa2lWg6PK3RQLZ_Bf08&redir_esc=y#v=onepage&q=What'S%20Wrong%20With%20My%20Cat%20Or%20Kitten%3F%20j%20eossi%202012&f=false,What'S Wrong With My Cat Or Kitten?,Page 1 Revised Edition What'S Wrong With My Cat Or Kitten? A Home Medical Reference Manual • Behavioral Changes First Aid For Miscellaneous Problems Fleas & Ticks. ...,Abstract not available,,
166,2012,"Saito, J.","Saito, Jacqueline M.",Current Opinion In Pediatrics,,PubMed,10.1097/mop.0b013e328352704e,,Beyond Appendicitis: Evaluation And Surgical Treatment Of Pediatric Acute Abdominal Pain,"Purpose Of Review: Evaluation Of The Child With Acute Abdominal Pain Is Challenging Because Of The Wide Range Of Potential Diagnoses. Presenting  Symptoms, Clinical Examination, And Laboratory Findings Can Guide Selection Of  Diagnostic Imaging. Recent Findings: Intussusception And Intestinal Malrotation  Are Potentially Serious Causes Of Intestinal Obstruction, Which Are Best  Evaluated By Ultrasound And Upper Gastrointestinal Series, Respectively.  Ultrasound Has Diagnostic Importance In The Evaluation Of Multiple Diseases,  Including Appendicitis, By Potentially Decreasing The Need For Inpatient  Observation, Cholecystitis And Complications Of Gall Stones Such As Pancreatitis,  And Ovarian Diseases. Pelvic Inflammatory Disease Should Be Considered In  Evaluation Of A Teenage Girl With Lower Abdominal Pain. Less Common Causes Of  Acute Abdominal Pain Include Ingested Foreign Bodies, Infected Congenital  Anomalies, And Perforated Peptic Ulcer Disease. Summary: Presenting Symptoms And  Physical Examination Findings Can Narrow The Number Of Potential Diagnoses In  Pediatric Acute Abdominal Pain And Thereby Guide Diagnostic Imaging Selection.  Abdominal/Pelvic Ultrasound, Rather Than Computed Tomography Scan, Is The  Preferred Modality For Initial Evaluation Of Many Potential Causes Of Pediatric  Abdominal Pain.",,,
167,2012,Van A.,"Van As, Ab; Yusof, Am; Millar, Ajw",International Journal Of Pediatric Otorhinolaryngology,,Web of Science,10.1016/j.ijporl.2012.02.005,,Food Foreign Body Injuries,"Rationale And Aim: The Purpose Of This Study Is To Acquire A Better Understanding Of Food Foreign Bodies (Ffb) Injuries In Children Characterizing The Risk Of Complications And Prolonged Hospitalization Due To Food Items According To Patients' Characteristics, Circumstances Of The Accident, Foreign Body (Fb) Features And Fb Location, As Emerging From The Susy Safe Web-Registry. Methods: The Present Study Uses Data Provided By The Susy Safe Project, A Dg Sanco Co-Funded Project Started In February 2005, Which Was Aimed At Establishing An International Registry Of Cases Of Foreign Bodies (Fb) Injuries In Children Aged 0-14 Years. The Analysis Was Carried Out On Injuries Due To A Food Item. Fb Location Was Reported According To Icd9-Cm Code: Ears (Icd931). Nose (Icd932), Pharynx And Larynx (Icd933) Trachea, Bronchi And Lungs (Icd934), Mouth, Esophagus And Stomach (Icd935). Age And Gender Injury Distributions Were Assessed. Data Regarding Adult Supervision And Activity Before Injury Were Also Evaluated. Fbs Which Most Frequently Cause Complications Were Identified. The Association Between Children Age, Adult Presence, Object Characteristics And Hospitalization/Complications Was Computed Using Unweighted Odds Ratios And The Related 95% Confidence Intervals. Results: 16,878 Fb Injuries Occurred In Children Aged 0-14 Years Have Been Recorded In The Susy Safe Databases. Fb Type Was Specified In 10,564 Cases; Among Them 2744(26%) Were Due To A Food Item. Fb Site Was Recorded In 1344 Cases: Fb Was Located In The Ears In 99 Patients, While 1140 Occurred In The Upper And Lower Respiratory Tract; Finally, 105 Food Items Were Removed From Mouth, Esophagus And Stomach. Complications Occurred In 176 Cases And The Most Documented Was Pulmonary Or Bronchial Infections (23%) Followed Emphysema Or Atelectasis And By And Asthma (7%). Bones Were The Commonest Retrieved Ffb Encountered In This Study, While Nuts Seem To Be The Ffb Most Frequently Associated To Complications. Conclusions: On The Basis Of This Study We Make The Strong Recommendation That Parents Should Be Adequately Educated And Provide Age-Appropriate Food To Their Children And Be Present In Order To Supervise Them During Eating Especially During A Critical Period Ranging From 2 To 3 Years Of Age. (C) 2012 Elsevier Ireland Ltd. All Rights Reserved.",,,
168,2012,"Trgo, G.","Trgo, Gorana; Tonkic, Ante; Simunic, Miroslav; Puljiz, Zeljko",Case Reports In Gastroenterology,,PubMed,10.1159/000338839,,Successful Endoscopic Removal Of A Lighter Swallowed 17 Months Before,"The Majority Of Ingested Foreign Bodies Will Pass Safely Through The Gastrointestinal Tract, But Long And Rigid Foreign Bodies Are Associated With An  Increased Risk Of Gastrointestinal Impaction, Perforation And Bleeding. However,  Large Foreign Bodies Which Have Been Swallowed Can Remain Trapped In The Stomach  Over A Longer Period Of Time Without Any Significant Symptoms. This Case Report  Describes The Case Of A 36-Year-Old Man Addicted To Heroin Who Purposefully  Swallowed A Lighter (Double Wrapped In Cellophane) And Presented With Hematemesis  And Melena 17 Months After The Ingestion Of The Foreign Body. The Lighter Was  Successfully Removed Via Flexible Endoscopy Using A Polypectomy Snare. Swallowed  Long And Rigid Foreign Bodies Trapped In The Stomach Over A Long Period Of Time  Always Represent A Special Clinical And Endoscopic Challenge. In Cases Where  Endoscopic Removal Fails, A Laparoscopic Surgical Approach May Be An Alternative.",,,
